region,part,pctofwin
NALCS,0,0.4507042253521127
NALCS,1,0.4673768308921438
NALCS,2,0.44123711340206184
NALCS,3,0.47305389221556887
NALCS,4,0.4732824427480916
NALCS,5,0.515625
NALCS,6,0.4814004376367615
NALCS,7,0.48519362186788156
NALCS,8,0.5498783454987834
NALCS,9,0.5330882352941176
NALCS,10,0.5683297180043384
NALCS,11,0.5597609561752988
NALCS,12,0.5529661016949152
NALCS,13,0.6353211009174312
NALCS,14,0.5435244161358811
NALCS,15,0.5833333333333334
NALCS,16,0.6
NALCS,17,0.5833333333333334
NALCS,18,0.6536144578313253
NALCS,19,0.6058631921824105
NALCS,20,0.6196319018404908
NALCS,21,0.6258992805755396
NALCS,22,0.604602510460251
NALCS,23,0.6377708978328174
NALCS,24,0.6197604790419161
NALCS,25,0.6327944572748267
NALCS,26,0.6157205240174672
NALCS,27,0.6213389121338913
NALCS,28,0.5886524822695035
NALCS,29,0.6177606177606177
NALCS,30,0.6365638766519823
NALCS,31,0.63718820861678
NALCS,32,0.6363636363636364
NALCS,33,0.6403846153846153
NALCS,34,0.6430020283975659
NALCS,35,0.6449579831932774
NALCS,36,0.6750524109014675
NALCS,37,0.6150537634408603
NALCS,38,0.6666666666666666
NALCS,39,0.6761565836298933
NALCS,40,0.6615969581749049
NALCS,41,0.711864406779661
NALCS,42,0.6375838926174496
NALCS,43,0.7212389380530974
NALCS,44,0.6856540084388185
NALCS,45,0.6847389558232931
NALCS,46,0.6618357487922706
NALCS,47,0.6869009584664537
NALCS,48,0.6046511627906976
NALCS,49,0.7191176470588235
NALCS,50,0.6965174129353234
NALCS,51,0.6887871853546911
NALCS,52,0.7137014314928425
NALCS,53,0.7240566037735849
NALCS,54,0.7622950819672131
NALCS,55,0.6680851063829787
NALCS,56,0.7602591792656588
NALCS,57,0.7102803738317757
NALCS,58,0.6831683168316832
NALCS,59,0.7665562913907285
NALCS,60,0.7083333333333334
NALCS,61,0.7613168724279835
NALCS,62,0.7306843267108167
NALCS,63,0.7636761487964989
NALCS,64,0.7473684210526316
NALCS,65,0.7839643652561247
NALCS,66,0.777511961722488
NALCS,67,0.7924528301886793
NALCS,68,0.7591623036649214
NALCS,69,0.7817531305903399
NALCS,70,0.7868131868131868
NALCS,71,0.7817047817047817
NALCS,72,0.7759433962264151
NALCS,73,0.8253521126760563
NALCS,74,0.8054662379421221
NALCS,75,0.8143712574850299
NALCS,76,0.8112745098039216
NALCS,77,0.8112449799196787
NALCS,78,0.8112676056338028
NALCS,79,0.8223350253807107
NALCS,80,0.8297872340425532
NALCS,81,0.8400702987697716
NALCS,82,0.8386308068459658
NALCS,83,0.8482758620689655
NALCS,84,0.8580246913580247
NALCS,85,0.8586278586278586
NALCS,86,0.872651356993737
NALCS,87,0.8739669421487604
NALCS,88,0.8627450980392157
NALCS,89,0.8811700182815356
NALCS,90,0.8894230769230769
NALCS,91,0.8895833333333333
NALCS,92,0.9105367793240556
NALCS,93,0.9092827004219409
NALCS,94,0.8594594594594595
NALCS,95,0.9409448818897638
NALCS,96,0.9097035040431267
NALCS,97,0.6375
NALCS,98,0.9415680473372781
NALCS,99,0.960691823899371
EULCS,0,0.4897959183673469
EULCS,1,0.4805389221556886
EULCS,2,0.4158415841584158
EULCS,3,0.5116279069767442
EULCS,4,0.4582392776523702
EULCS,5,0.45011600928074247
EULCS,6,0.4813895781637717
EULCS,7,0.45454545454545453
EULCS,8,0.5161290322580645
EULCS,9,0.551487414187643
EULCS,10,0.562200956937799
EULCS,11,0.5576036866359447
EULCS,12,0.5408163265306123
EULCS,13,0.5552631578947368
EULCS,14,0.5766423357664233
EULCS,15,0.5447570332480819
EULCS,16,0.6099773242630385
EULCS,17,0.5637254901960784
EULCS,18,0.6158940397350994
EULCS,19,0.5959183673469388
EULCS,20,0.5852534562211982
EULCS,21,0.6062176165803109
EULCS,22,0.6096938775510204
EULCS,23,0.5818815331010453
EULCS,24,0.6476868327402135
EULCS,25,0.6256544502617801
EULCS,26,0.6
EULCS,27,0.6379310344827587
EULCS,28,0.6300268096514745
EULCS,29,0.658695652173913
EULCS,30,0.6187845303867403
EULCS,31,0.65
EULCS,32,0.6507936507936508
EULCS,33,0.634703196347032
EULCS,34,0.6574712643678161
EULCS,35,0.6384039900249376
EULCS,36,0.7033492822966507
EULCS,37,0.650990099009901
EULCS,38,0.6375404530744336
EULCS,39,0.6829268292682927
EULCS,40,0.6886792452830188
EULCS,41,0.6719817767653758
EULCS,42,0.6797752808988764
EULCS,43,0.6979166666666666
EULCS,44,0.6971046770601337
EULCS,45,0.696969696969697
EULCS,46,0.6873315363881402
EULCS,47,0.7093235831809872
EULCS,48,0.7037037037037037
EULCS,49,0.7032590051457976
EULCS,50,0.7104761904761905
EULCS,51,0.7073791348600509
EULCS,52,0.7194805194805195
EULCS,53,0.7189054726368159
EULCS,54,0.7380952380952381
EULCS,55,0.7037037037037037
EULCS,56,0.7453271028037384
EULCS,57,0.735632183908046
EULCS,58,0.7323943661971831
EULCS,59,0.7504835589941973
EULCS,60,0.7506361323155216
EULCS,61,0.7832167832167832
EULCS,62,0.7229551451187335
EULCS,63,0.7518796992481203
EULCS,64,0.7711340206185567
EULCS,65,0.7583547557840618
EULCS,66,0.8095238095238095
EULCS,67,0.7447916666666666
EULCS,68,0.7550432276657061
EULCS,69,0.8004115226337448
EULCS,70,0.7682291666666666
EULCS,71,0.7843601895734598
EULCS,72,0.7951482479784366
EULCS,73,0.8095238095238095
EULCS,74,0.8125
EULCS,75,0.8043478260869565
EULCS,76,0.816
EULCS,77,0.8067415730337079
EULCS,78,0.8120567375886525
EULCS,79,0.8549019607843137
EULCS,80,0.8312342569269522
EULCS,81,0.8584070796460177
EULCS,82,0.8617886178861789
EULCS,83,0.8613333333333333
EULCS,84,0.8641686182669789
EULCS,85,0.8734491315136477
EULCS,86,0.8737864077669902
EULCS,87,0.8795454545454545
EULCS,88,0.8827160493827161
EULCS,89,0.8845360824742268
EULCS,90,0.8953168044077136
EULCS,91,0.9011764705882352
EULCS,92,0.9261904761904762
EULCS,93,0.9065656565656566
EULCS,94,0.887240356083086
EULCS,95,0.9413145539906104
EULCS,96,0.9178082191780822
EULCS,97,0.6166666666666667
EULCS,98,0.9361518550474547
EULCS,99,0.9535941765241128
CBLoL,0,0.5
CBLoL,1,0.43956043956043955
CBLoL,2,0.509090909090909
CBLoL,3,0.46788990825688076
CBLoL,4,0.5
CBLoL,5,0.4421768707482993
CBLoL,6,0.48314606741573035
CBLoL,7,0.5652173913043478
CBLoL,8,0.5094339622641509
CBLoL,9,0.5079365079365079
CBLoL,10,0.4608695652173913
CBLoL,11,0.4852941176470588
CBLoL,12,0.49107142857142855
CBLoL,13,0.5378151260504201
CBLoL,14,0.5221238938053098
CBLoL,15,0.5871559633027523
CBLoL,16,0.5637583892617449
CBLoL,17,0.4857142857142857
CBLoL,18,0.6292134831460674
CBLoL,19,0.5751633986928104
CBLoL,20,0.5785123966942148
CBLoL,21,0.5590551181102362
CBLoL,22,0.56
CBLoL,23,0.5833333333333334
CBLoL,24,0.610062893081761
CBLoL,25,0.6106194690265486
CBLoL,26,0.6324786324786325
CBLoL,27,0.6190476190476191
CBLoL,28,0.5963302752293578
CBLoL,29,0.6147540983606558
CBLoL,30,0.6016260162601627
CBLoL,31,0.6581196581196581
CBLoL,32,0.5849056603773585
CBLoL,33,0.676923076923077
CBLoL,34,0.6589147286821705
CBLoL,35,0.6578947368421053
CBLoL,36,0.7286821705426356
CBLoL,37,0.6639344262295082
CBLoL,38,0.6621621621621622
CBLoL,39,0.696969696969697
CBLoL,40,0.7142857142857143
CBLoL,41,0.7089552238805971
CBLoL,42,0.7403846153846154
CBLoL,43,0.7333333333333333
CBLoL,44,0.7421875
CBLoL,45,0.6910569105691057
CBLoL,46,0.7128712871287128
CBLoL,47,0.703030303030303
CBLoL,48,0.35294117647058826
CBLoL,49,0.7701863354037267
CBLoL,50,0.7254901960784313
CBLoL,51,0.6991150442477876
CBLoL,52,0.7079646017699115
CBLoL,53,0.7580645161290323
CBLoL,54,0.7213114754098361
CBLoL,55,0.7844827586206896
CBLoL,56,0.7258064516129032
CBLoL,57,0.7868852459016393
CBLoL,58,0.7553191489361702
CBLoL,59,0.8068965517241379
CBLoL,60,0.7321428571428571
CBLoL,61,0.7769784172661871
CBLoL,62,0.7647058823529411
CBLoL,63,0.7480314960629921
CBLoL,64,0.8134328358208955
CBLoL,65,0.7327586206896551
CBLoL,66,0.8285714285714286
CBLoL,67,0.7777777777777778
CBLoL,68,0.75
CBLoL,69,0.7972027972027972
CBLoL,70,0.7631578947368421
CBLoL,71,0.7674418604651163
CBLoL,72,0.7766990291262136
CBLoL,73,0.7368421052631579
CBLoL,74,0.8037974683544303
CBLoL,75,0.75
CBLoL,76,0.811965811965812
CBLoL,77,0.7862595419847328
CBLoL,78,0.7804878048780488
CBLoL,79,0.825
CBLoL,80,0.8210526315789474
CBLoL,81,0.8176100628930818
CBLoL,82,0.845360824742268
CBLoL,83,0.8018018018018018
CBLoL,84,0.8373983739837398
CBLoL,85,0.8524590163934426
CBLoL,86,0.8387096774193549
CBLoL,87,0.8188976377952756
CBLoL,88,0.8260869565217391
CBLoL,89,0.8571428571428571
CBLoL,90,0.8650793650793651
CBLoL,91,0.7821782178217822
CBLoL,92,0.8759124087591241
CBLoL,93,0.8596491228070176
CBLoL,94,0.8558558558558559
CBLoL,95,0.860655737704918
CBLoL,96,0.9186046511627907
CBLoL,97,0.6739130434782609
CBLoL,98,0.9135446685878963
CBLoL,99,0.9501661129568106
LCK,0,0.4925373134328358
LCK,1,0.46792035398230086
LCK,2,0.4049429657794677
LCK,3,0.48009367681498827
LCK,4,0.5103668261562998
LCK,5,0.4483870967741935
LCK,6,0.491395793499044
LCK,7,0.5274725274725275
LCK,8,0.5122448979591837
LCK,9,0.5256410256410257
LCK,10,0.511504424778761
LCK,11,0.5320623916811091
LCK,12,0.5685279187817259
LCK,13,0.5443548387096774
LCK,14,0.5587734241908007
LCK,15,0.5817490494296578
LCK,16,0.5773524720893142
LCK,17,0.5955473098330241
LCK,18,0.5693430656934306
LCK,19,0.5971428571428572
LCK,20,0.6202090592334495
LCK,21,0.6077348066298343
LCK,22,0.6274864376130199
LCK,23,0.6163366336633663
LCK,24,0.6338797814207651
LCK,25,0.6287744227353463
LCK,26,0.6024734982332155
LCK,27,0.6490299823633157
LCK,28,0.6545064377682404
LCK,29,0.6609642301710731
LCK,30,0.6416819012797075
LCK,31,0.6530214424951267
LCK,32,0.689908256880734
LCK,33,0.6677852348993288
LCK,34,0.6728813559322034
LCK,35,0.6614583333333334
LCK,36,0.6956521739130435
LCK,37,0.655045871559633
LCK,38,0.6880952380952381
LCK,39,0.6873156342182891
LCK,40,0.6920415224913494
LCK,41,0.693069306930693
LCK,42,0.6878727634194831
LCK,43,0.6856127886323268
LCK,44,0.7123050259965338
LCK,45,0.6912028725314183
LCK,46,0.6968576709796673
LCK,47,0.7366197183098592
LCK,48,0.5606060606060606
LCK,49,0.7192771084337349
LCK,50,0.7570370370370371
LCK,51,0.6996527777777778
LCK,52,0.7291666666666666
LCK,53,0.7376425855513308
LCK,54,0.7368421052631579
LCK,55,0.7211895910780669
LCK,56,0.7642980935875217
LCK,57,0.7232289950576606
LCK,58,0.7513661202185792
LCK,59,0.7704918032786885
LCK,60,0.748062015503876
LCK,61,0.7731788079470199
LCK,62,0.7948243992606284
LCK,63,0.7651376146788991
LCK,64,0.8006182380216383
LCK,65,0.7717770034843205
LCK,66,0.801255230125523
LCK,67,0.7869415807560137
LCK,68,0.7943722943722944
LCK,69,0.8160741885625966
LCK,70,0.8082706766917294
LCK,71,0.8136439267886856
LCK,72,0.8239700374531835
LCK,73,0.8120104438642297
LCK,74,0.8380187416331994
LCK,75,0.8163265306122449
LCK,76,0.8540856031128404
LCK,77,0.8524046434494196
LCK,78,0.8170103092783505
LCK,79,0.8547717842323651
LCK,80,0.8647058823529412
LCK,81,0.8658536585365854
LCK,82,0.8716904276985743
LCK,83,0.8542435424354243
LCK,84,0.903107861060329
LCK,85,0.8661290322580645
LCK,86,0.9114391143911439
LCK,87,0.865
LCK,88,0.9119638826185101
LCK,89,0.8971684053651267
LCK,90,0.9001956947162426
LCK,91,0.899641577060932
LCK,92,0.9153976311336718
LCK,93,0.9184027777777778
LCK,94,0.885593220338983
LCK,95,0.9215686274509803
LCK,96,0.9497142857142857
LCK,97,0.7668711656441718
LCK,98,0.9446517412935324
LCK,99,0.9647058823529412
